round,date,cumulative_return_dollars,sharpe_ratio,reward,DBC_ret,SHY_ret,SPY_ret,DBC_weight,SHY_weight,SPY_weight
0,2006-04-30,3.041948149114894,6.5988786308237986,65988.78630823799,0.070175297,0.002208579,0.012632248,0.37275955080986023,0.3513626158237457,0.27587783336639404
0,2006-05-31,-1.1686942856205744,-2.4843523364114803,-24843.523364114804,-0.003903019,0.00166972,-0.030121201,0.1567716747522354,0.4505685567855835,0.3926597535610199
0,2006-06-30,0.03707864703654778,0.0834114077726272,834.1140777262721,-0.008620816,0.002364447,0.002608261,0.19170910120010376,0.3476346433162689,0.46065622568130493
0,2006-07-31,0.5844100210042438,0.774820970182119,7748.209701821191,0.022134406,0.006649243,0.004478209,0.0422915518283844,0.28520187735557556,0.6725066304206848
0,2006-08-31,0.8638004506860977,2.286486822931881,22864.86822931881,-0.033256011,0.007520186,0.021822365,0.18550604581832886,0.20745021104812622,0.6070438027381897
0,2006-09-30,0.35474411165734054,1.7068510314515382,17068.51031451538,-0.041999953,0.004390379,0.027001647,0.17060156166553497,0.5166638493537903,0.31273457407951355
0,2006-10-31,0.7974434139024001,7.534177319704152,75341.77319704152,0.010020954,0.004172807,0.031516854,0.08093934506177902,0.7973419427871704,0.12171870470046997
0,2006-11-30,1.2694556546223699,4.248970399539783,42489.70399539783,0.065729372,0.004835028,0.019885313,0.0560525543987751,0.6485214233398438,0.29542598128318787
0,2006-12-31,0.04189221343598328,0.20527403212662268,2052.7403212662266,-0.023199192,0.000658353,0.0133713,0.18840563297271729,0.4768596589565277,0.3347347378730774
0,2007-01-31,0.3236807075304328,1.0742400525745688,10742.400525745688,-0.024003437,0.00162546,0.015040425,0.12672758102416992,0.5110474228858948,0.3622249662876129
0,2007-02-28,-0.21295124265567866,-0.2890179923192942,-2890.179923192942,0.050854618,0.007269441,-0.01961768,0.17364077270030975,0.19530926644802094,0.6310499906539917
0,2007-03-31,0.8766525314642698,1.4027516300840528,14027.516300840527,0.006743388,0.00450683,0.011589147,0.17844542860984802,0.2764517366886139,0.5451028943061829
0,2007-04-30,1.4132850324516417,3.1608151041937362,31608.151041937363,0.00748624,0.003056816,0.044295584,0.4043598771095276,0.3704890310764313,0.22515107691287994
0,2007-05-31,1.9154851632689824,5.0478320128681275,50478.32012868128,-0.002346584,-0.000674322,0.033919741,0.1163315400481224,0.30484920740127563,0.5788192749023438
0,2007-06-30,-0.26956121336894573,-0.5461754952941931,-5461.75495294193,0.00744809,0.004750697,-0.014620464,0.31451287865638733,0.2572900950908661,0.42819705605506897
0,2007-07-31,0.34312494925563225,1.2024731575408605,12024.731575408605,0.019066155,0.009040702,-0.031310235,0.1563878059387207,0.6657399535179138,0.17787222564220428
0,2007-08-31,0.7945770371736494,2.344837391263475,23448.37391263475,-0.019091219,0.01048797,0.012833016,0.10451731830835342,0.6612284183502197,0.23425433039665222
0,2007-09-30,2.80125130809712,4.430957024763629,44309.570247636286,0.094199979,0.005519567,0.038714406,0.038407307118177414,0.3865944743156433,0.574998140335083
0,2007-10-31,5.263663855263335,6.45404794027613,64540.4794027613,0.085023164,0.004779764,0.013565989,0.5784642100334167,0.2577635943889618,0.16377221047878265
0,2007-11-30,-0.6079527346226038,-0.8379042788704643,-8379.042788704643,-0.006229459,0.017928703,-0.038732603,0.09980440884828568,0.5190335512161255,0.38116204738616943
0,2007-12-31,0.41138479928195015,0.5697219866858525,5697.219866858525,0.067042261,0.002996217,-0.01126052,0.15032842755317688,0.2527390420436859,0.5969325304031372
0,2008-01-31,-0.8727852176068817,-1.4496032481672771,-14496.032481672772,0.029150886,0.016546522,-0.060461066,0.16243281960487366,0.4827744662761688,0.3547928035259247
0,2008-02-29,0.5760595902463771,1.0688229858204568,10688.229858204568,0.111453196,0.010332024,-0.025842591,0.10920970141887665,0.4591383934020996,0.43165189027786255
0,2008-03-31,-0.5153272064150893,-0.5108673939308744,-5108.673939308745,-0.009141271,0.0025357,-0.008941855,0.3950529396533966,0.33695003390312195,0.26799699664115906
0,2008-04-30,2.0703998739614033,2.542492470412961,25424.924704129608,0.060385875,-0.008374535,0.047662405,0.07768557965755463,0.4987216591835022,0.423592746257782
0,2008-05-31,3.30361733041486,4.446943823903675,44469.438239036754,0.069074529,-0.00346202,0.015116283,0.43223074078559875,0.2907973825931549,0.27697184681892395
0,2008-06-30,2.7737629243070026,3.499552311798471,34995.52311798471,0.104315643,0.002454926,-0.083575618,0.4488098621368408,0.3136768937110901,0.2375132143497467
0,2008-07-31,-3.9749840281679996,-5.146847053218397,-51468.47053218397,-0.097811575,0.004342163,-0.008985969,0.3824157416820526,0.240426704287529,0.3771575689315796
0,2008-08-31,0.3901549486262258,,,-0.065346404,0.004665046,0.015453633,0.06498275697231293,0.5840871930122375,0.3509301245212555
0,2008-09-30,-5.409290975104867,-5.140650127723141,-51406.501277231415,-0.102489546,0.007778322,-0.094173839,0.3295368552207947,0.4200132489204407,0.25044986605644226
0,2008-10-31,-10.823715771591546,-6.200663753553795,-62006.63753553795,-0.25081141,0.01104726,-0.16518638,0.3153267800807953,0.4763510525226593,0.20832212269306183
0,2008-11-30,-1.5450646489006468,-0.8800331799684687,-8800.331799684687,-0.123670798,0.011052567,-0.06960669,0.11002299189567566,0.7451635003089905,0.1448134481906891
0,2008-12-31,0.08209349008580902,0.05205835283714951,520.5835283714952,-0.032621651,0.00562991,0.00979628,0.1424320489168167,0.7041313052177429,0.1534365713596344
