,0
Annual return,1.9684974670776723
Cumulative returns,0.1531340696843193
Annual volatility,0.48187266405712653
Sharpe ratio,2.4971818214376547
Calmar ratio,12.856390724891744
Stability,0.8295297977297709
Max drawdown,-0.15311431561164285
Omega ratio,1.4858006841087485
Sortino ratio,3.845087619002367
Skew,-0.33550471432553447
Kurtosis,-0.08702390432606322
Tail ratio,1.0190025505362386
Daily value at risk,-0.055935155299256994
